ecg,gsr,temp,hr,spo2,timest,second
1.7644,0.4985,31.28,0,0,298982,1.551
1.7595,0.4985,31.33,0,0,298985,1.554
1.7644,0.4985,31.3,0,0,298988,1.557
1.7644,0.4985,31.28,0,0,298991,1.56
1.7693,0.4985,31.09,0,0,298995,1.563
1.7546,0.5083,31.3,0,0,298998,1.566
1.7204,0.4936,31.28,0,0,299001,1.569
1.6471,0.4985,31.3,0,0,299004,1.572
1.5885,0.4985,31.3,0,0,299008,1.575
1.5982,0.5034,31.28,0,0,299012,1.578
1.696,0.4985,31.28,0,0,299015,1.581
1.8915,0.4985,31.3,0,0,299018,1.584
2.1994,0.4985,31.3,0,0,299021,1.587
2.6686,0.4985,31.28,0,0,299024,1.59
3.3529,0.4985,31.3,0,0,299028,1.593
4.0274,0.4985,31.28,0,0,299031,1.596
4.4624,0.4985,31.28,0,0,299034,1.599
4.5992,0.4839,31.28,0,0,299037,1.602
4.3206,0.4985,31.28,0,0,299040,1.605
3.7341,0.5034,31.28,0,0,299044,1.608
3.1427,0.4985,31.3,0,0,299047,1.611
2.5855,0.4985,31.3,0,0,299051,1.614
2.1652,0.4985,31.3,0,0,299054,1.617
1.8671,0.4985,31.28,0,0,299057,1.62
1.6716,0.4985,31.3,0,0,299061,1.623
1.5445,0.4985,31.07,0,0,299064,1.626
1.4663,0.5083,31.28,0,0,299067,1.629
1.4272,0.4936,31.28,0,0,299070,1.632
1.3978,0.4985,31.28,0,0,299073,1.635
1.393,0.4985,31.28,0,0,299077,1.638
1.4027,0.4839,31.3,0,0,299080,1.641
1.4027,0.4985,31.3,0,0,299083,1.644
1.4027,0.4936,31.22,0,0,299086,1.647
1.4174,0.4936,31.28,0,0,299089,1.65
1.4223,0.4936,31.28,0,0,299094,1.653
1.4418,0.4985,31.28,0,0,299097,1.656
1.4565,0.4985,31.28,0,0,299100,1.659
1.4712,0.4985,31.3,0,0,299103,1.662
1.4956,0.4985,31.33,0,0,299106,1.665
